address,airdrop_amount_dog,first_receive_block,first_receive_time,receive_count
bc1pmqjlx3afzdrmv8gc6dpq990h4xwucdtgt9el3u5fmalek34zqysq96plm5,110335944.0,840654,2024-04-24T12:27:21Z,124
bc1p4s96dehgjtkn0xhh0nl8luzvazvg9q7wm97dzvkgr93e7rgktxsscz4s8k,60506808.0,840654,2024-04-24T12:27:21Z,68
bc1pv63rg7c0a3g5rnanc68me9vurlfflj5evea4xndp4cq5mtvyuj2sjp88p3,60506808.0,840654,2024-04-24T12:27:21Z,68
bc1pylxx84thah9f0rrzp982qzfsmfuluzynj5nd2kx7cf3qzvuampdsnxud9e,55167972.0,840654,2024-04-24T12:27:21Z,62
bc1p52g9wy3dsg9ffzh29fz35afv9767wf8saah06v35crepffcpz5fqcxpzy7,42710688.0,840654,2024-04-24T12:27:21Z,48
bc1puuv3zw66rvlmwsde6amqp03pjpejlaegtcvfdgvka8nwm2aqwjjs5cnsls,41820882.0,840654,2024-04-24T12:27:21Z,47
bc1p68v03zrp68jga73mrd90achzdmevv3p3ja0uc9m2a7uncknaejzsq8qwey,37371852.0,840654,2024-04-24T12:27:21Z,42
bc1pnslt767y5ff2f6x72lraal5r3k38a8elxwmc8my3zkquwmk39ppqxzf3kn,32033016.0,840654,2024-04-24T12:27:21Z,36
3JFr8GLvjErWYGBA783YeXC7RmFqpFGvaR,31143210.0,840654,2024-04-24T12:27:21Z,35
bc1p7js5vrfwzczx8akljyy3p64x08tcnq7c2qreztxzst9q3wugdthql5lwtm,29363598.0,840654,2024-04-24T12:27:21Z,33
bc1pw82sx7q5ypnrdva82yhsnsr9jm4qdhcx8nk77afpdfgtf74ky9tssrk5wm,29363598.0,840654,2024-04-24T12:27:21Z,33
bc1pga59yayyasn6n98ecrf2c3j75q54ddv5m06xwf4p7dj7vthkvjgswd2337,28473792.0,840654,2024-04-24T12:27:21Z,32
bc1pt4ggsszywjzhaptsgfwdgfmp9mlmp0arc9x2r5ml66khmjntx2eq3ywa53,27583986.0,840654,2024-04-24T12:27:21Z,31
bc1pfvcx4lvncc2rrmnlzyc30m5ypnz4wup0ctyyykxca26zzawtgh7qqaeant,25804374.0,840654,2024-04-24T12:27:21Z,29
bc1pqnu9ckd09xx8jx97m8knmez94wrta9yk4f5uee2dmm8zl8mxncpseqgxaj,24914568.0,840654,2024-04-24T12:27:21Z,28
bc1psh3wu44wcrncentgd3u98wu89dt78l30ht09uqq4xl7qdhvlwjqqpqvjpp,24024762.0,840654,2024-04-24T12:27:21Z,27
bc1p3zkga7qx53lemh0x08aqmqdsws2dmn2fc6yljs7k06elgfwjvraqv78ykj,23134956.0,840654,2024-04-24T12:27:21Z,26
bc1pnrkf49x0xzwgkn50jq4q4823gec5hj9xagul72vvj42pp9ml86gqyx075c,23134956.0,840654,2024-04-24T12:27:21Z,26
bc1pr48erga9vrn6uch82lm9fu2wkurjp0fxy87fk9w03nrp3zkt9uqqpkdkve,23134956.0,840654,2024-04-24T12:27:21Z,26
bc1p65quvv8xcl30g427m3hat249jcptcxlslqavutp4ud9g8jmrattqvtn4kl,22245150.0,840654,2024-04-24T12:27:21Z,25
bc1phjudjh3v2vugsjq0at7vkf5fj5hgl6p57uhk8mhjldk58v72s94qarjt8f,21355344.0,840654,2024-04-24T12:27:21Z,24
bc1pgv73twuf7a54g8pu2q2nxpsfh5w7ghrsneqzhg5wrc0e0909s7pszuhj48,20465538.0,840654,2024-04-24T12:27:21Z,23
bc1psgc5kfapnyvgx67md23wz3hvhdljparky8e0959p5zxruxkterhquma98p,20465538.0,840654,2024-04-24T12:27:21Z,23
bc1qaf544usapu6dckpd3saxzff4ck6ypa3u6lf678,20465538.0,840654,2024-04-24T12:27:21Z,23
bc1puay3q0xkw7haw0fuq5ycxp0n0krucf7j9u5cvdsta9wftlymcf7qh8zeyg,19575732.0,840654,2024-04-24T12:27:21Z,22
bc1pafnqpru53a4yexjvx8hrlulhkrc8w5qkq8ylkllyhn66gard9g0s0z8shz,18685926.0,840654,2024-04-24T12:27:21Z,21
bc1pgqvt2upjjah7jcdyex6l52nukfsle2dwq8sksjmccu3z83l4qdksnrr24a,18685926.0,840654,2024-04-24T12:27:21Z,21
bc1pqgk2k970lf436770kfdj8mt6rxujyfn70d7l4hl2tkd62pdud7sst5n6al,18685926.0,840654,2024-04-24T12:27:21Z,21
bc1psecynh5qyz0asy9qkkxleyehchdv679kqsqnvk3yydegjwft80hqaf8kq0,18685926.0,840654,2024-04-24T12:27:21Z,21
bc1q4jyn4nulqpdzek3cjh7s5mgapq22k8vfv5hqgl,18685926.0,840654,2024-04-24T12:27:21Z,21
bc1plh64s3x4x36fjzqkhdsue93znf37dj80nzq6x64t0z24q7ra3mtqdy5xx2,17796120.0,840654,2024-04-24T12:27:21Z,20
bc1pt03sxtg6ncjeh26fkwrv0z6wywtaj9xjcjudge0vaf3dyft069vqr2t2uz,17796120.0,840654,2024-04-24T12:27:21Z,20
bc1qx5j2lqghly6v83ra4pjm9zsv8kdt46hkwwe334,17796120.0,840654,2024-04-24T12:27:21Z,20
bc1p208lqr8zdk835g7fcehz9wdlexw5jf56n9vhh2hcmunelf0502jstkszpt,16906314.0,840654,2024-04-24T12:27:21Z,19
bc1pdq5ua202q89xk4ftd9pz5rrjjuzkfvt6pxz25g8x05usgk2awk6qscw2qy,16906314.0,840654,2024-04-24T12:27:21Z,19
bc1p2nj2teu3znnx7pukqre6n5ryjrcsv3hr74334gezgwencrwylupsa55j8k,16016508.0,840654,2024-04-24T12:27:21Z,18
bc1p5yhxrkuqf7m7fcsqa0gsp409tyf2ggr4jyr5tll8mfv8wzxxjmjs5me5ex,16016508.0,840654,2024-04-24T12:27:21Z,18
