address,airdrop_dog,addr_type,funded_txo_count,receive_count
bc1p2nj2teu3znnx7pukqre6n5ryjrcsv3hr74334gezgwencrwylupsa55j8k,16016508.0,p2tr,50,18
bc1plsg4xz2jvknf87x0a9tn9rys4u6xpwgh95tglnxd444pn8s0cv2sga0try,10677672.0,p2tr,108,12
bc1ppxm2y58nh22ykjlelvwmvewakr2j47nq9qk5hja4z3g2063d6d3q77xkcu,9787866.0,p2tr,94,11
bc1phjx6m8qdrmyx5gpjzhhgntgfd92t89pxuhl3uqwvu36zf7xygrrsnswpp0,8898060.0,p2tr,28,10
bc1p0rm0ktlh7l0w23jdc086vksz7thpqqkawklyuf75z58kfwufu8sqd3e4up,7118448.0,p2tr,86,8
bc1pkrntdfdsne8pzktru90vmjgpr83deak0kpfte7ppmdmahy637n6q6cc758,7118448.0,p2tr,52,8
bc1ptcv6ar7zulxemt57hvvudgx09ywn9r6qflxkk2tq2apweftvgj3s485rrm,7118448.0,p2tr,51,8
bc1p04jdwdmz7mffaam3qp64d6hyye34vda4qk6xhx7eprp3y4nvsa9qd0y476,6228642.0,p2tr,31,7
bc1pp7aq2cnwck75lylwah44ad3nsru3ng42hw4kc7tp72ha6r06metqysp8gy,6228642.0,p2tr,22,7
bc1p7v75kzj8pmwjqj38s93lk6mjsqheq4hv44t58qd68r99dv4sx7pqen72s2,5338836.0,p2tr,21,6
bc1pgc8wvl6fstydsu4ql5qn750900wstq36qfmxgzjla57hr63v73hq5ym3pf,5338836.0,p2tr,25,6
bc1pjgh0yfux269twk3fwflyfcvdncrq8jggz0gfhn94uptp0qsk4zgslx7xp2,5338836.0,p2tr,25,6
bc1pjgsspl9f9e0gw95tmqxlv6dmt0nvm7vdcarnm4ml8s92h0f20v3sm2u5uj,5338836.0,p2tr,19,6
bc1pkv87mwrfrvy5stvl9xgvtmwrx758l6hzsg25smlfhevee6kumxzs5ssc8e,5338836.0,p2tr,26,6
bc1pwx8s086wfwplnx5979q0le33k2qjxdquzzgxz5zmtk3l8uqflzyq56esjl,5338836.0,p2tr,40,6
bc1pxjqycxfqassx8ssz8qnnv3eawtadjyfadm2jd85kpae9p2u856qsfnrvar,5338836.0,p2tr,38,6
bc1pwxf5wzvxwjx5kc4f7yu25uy4hh4q2wvd40gxp9gmcup6mw7ek86swn3rvu,4449030.0,p2tr,76,5
