lapide,address,dog,utxo_count,posicao_residencial,airdrop,assinou,direito,x_m,z_m
L00001,bc1pal8ffngtu4fcff5zh32nzt4pq7jch23u4kn6y4wgur0tgrkpajaqvljm8f,591.83,1,66706,0,0,licença paga + mint do deed = lote no anel de expansão,-6869.09,-1948.8
L00002,bc1p2utw4nze73j886ayjkgrmkp2udg7geccu3wzylyy03htz2wgar8sv9rce3,591.0,1,66710,0,0,licença paga + mint do deed = lote no anel de expansão,-6868.62,-1950.22
L00003,bc1qv0wzf3ntwvrq5yhefn58ffaa3yj235k6unjvv4,590.1879,1,68133,1,1,licença paga + mint do deed = lote no anel de expansão,-6868.16,-1951.65
L00004,bc1pxv4sfv3zvay2rj9duj57pum3kzrdadclu7pwhrymvddzzsxeyhas0rktvm,590.0,1,67121,0,0,licença paga + mint do deed = lote no anel de expansão,-6867.7,-1953.07
L00005,bc1pc9qvwjwm9vrk0htjsxgtf0jzp5nux0283fvs4ztc3c4t7u3950jsshfe4m,588.9428,2,66988,0,0,licença paga + mint do deed = lote no anel de expansão,-6867.23,-1954.5
L00006,bc1pwjjfk4dhqyqh2nhgx3tmm4hpdh9qfemwepcaaxerykymlty33t7qf60s0w,588.7688,1,66835,0,0,licença paga + mint do deed = lote no anel de expansão,-6866.77,-1955.93
L00007,bc1pvg36xnf534mcrf8zxttj797a4js0nj5jf97qalwrg99w07emkjcq9g39h9,588.7,1,69056,0,0,licença paga + mint do deed = lote no anel de expansão,-6866.31,-1957.35
L00008,bc1p5jjx5a3m85uw5skpulmsnu209lveunnxne7wxz7yu8zekvl6m4gq3sc4n2,588.36686,1,66839,0,0,licença paga + mint do deed = lote no anel de expansão,-6865.84,-1958.78
L00009,bc1p4qw6wtqml5ujrzkh4r6whsg7z5j9hly3g5xglf2txvc3e2zuv4jqgn55uy,587.78,1,67517,0,0,licença paga + mint do deed = lote no anel de expansão,-6865.38,-1960.21
L00010,bc1p2q0wkcs4vn3xkhnjlnl3x9enxkp4aw4hr58kpwtagdl8tl6xqw4s8gwwjh,587.78,1,67806,0,1,licença paga + mint do deed = lote no anel de expansão,-6864.91,-1961.63
L00011,bc1pqpr2ssxatey2a434z2f5kqjhjhly4njnuzhqfwne8txsjlhacgvqacrkg2,587.76776,1,66843,0,0,licença paga + mint do deed = lote no anel de expansão,-6864.45,-1963.06
L00012,bc1qm9fx60d4g2ypg7kqkh7stnql8yw072kh5w3a78,587.0,1,66920,0,0,licença paga + mint do deed = lote no anel de expansão,-6863.99,-1964.49
L00013,bc1q57kmjrtd2j6y8epcf6dh98h5wp04ycqkumxu90,587.0,1,69216,0,0,licença paga + mint do deed = lote no anel de expansão,-6863.52,-1965.91
L00014,bc1pe6devqq3ew8lut85a35yqj3gtptkhkut6z8agellrfffrs2qn9gspmkkcv,586.40886,1,66853,0,0,licença paga + mint do deed = lote no anel de expansão,-6863.06,-1967.34
L00015,bc1pq598tqezyldqcq723np0j7lsc3dljcpys6wmzy89jck22t0x6pesqcrvr4,586.29776,1,66854,0,0,licença paga + mint do deed = lote no anel de expansão,-6862.6,-1968.77
L00016,bc1p5la02e0x0483zutwuu4d334cmhcujndkdga27llwsuqhnk9jl5csdkjn25,586.08315,1,67108,0,0,licença paga + mint do deed = lote no anel de expansão,-6862.13,-1970.19
L00017,bc1pjvxxfrwq94xwsuaznu99dny8lkd820j7uqsq07vlc5e4qaz3tr4sdjy4zn,586.0,1,67022,0,0,licença paga + mint do deed = lote no anel de expansão,-6861.67,-1971.62
L00018,bc1pjpecpevnjz2yqzskgm0yfmxp5ny88gpf542kpjy6cqw8muqp2mpq7ny9gk,585.37886,1,66857,0,0,licença paga + mint do deed = lote no anel de expansão,-6861.21,-1973.05
L00019,bc1ptaz2ulv7ckmcehcumhkd82n92vn5c92x7l09lvrc2xusn2p7wwes50yrqh,585.2639,1,66860,0,0,licença paga + mint do deed = lote no anel de expansão,-6860.74,-1974.47
L00020,bc1pzx4rf4gdm8l228u57jhzjhk7ctg0yk609pxz9zhg03ehdrmlx04seh5j2t,584.79659,1,66967,0,0,licença paga + mint do deed = lote no anel de expansão,-6860.28,-1975.9
L00021,bc1pdqr6jhqyj3xruyft5mn5f2ghnxkcmd637ukr2g4zdtkqrtc5c6lqzark0u,584.77084,1,66862,0,0,licença paga + mint do deed = lote no anel de expansão,-6859.82,-1977.33
L00022,bc1pprlagwrccxl2xqf5hh28wsawk9jnvpgg2ayxselr6mn5750a7mqq0chlgf,584.378,1,66864,0,0,licença paga + mint do deed = lote no anel de expansão,-6859.35,-1978.75
L00023,bc1pkdta7aphahara272wfdey407hf4rvfnmlzh4exs0xhmghhm7g75qe7mdxt,584.0,1,67571,0,0,licença paga + mint do deed = lote no anel de expansão,-6858.89,-1980.18
L00024,bc1pfl2d6v2xxxjnhnygfe3rq50qq64jgge0deparsaetrujyet90e8qhtjrp8,583.44886,1,66866,0,0,licença paga + mint do deed = lote no anel de expansão,-6858.43,-1981.61
L00025,bc1ppjntruu45uwgjyvdn00wu3mvznz9ddupm8tc5hl47mg2s9k5yk9qg8uxcn,583.379,1,66867,0,0,licença paga + mint do deed = lote no anel de expansão,-6857.96,-1983.03
L00026,bc1pxwkxv72e8dcr3a5aaanle95j8u7ksnkx5wwfqzhmt6p74yh3u77s96uv44,582.94134,1,66749,0,0,licença paga + mint do deed = lote no anel de expansão,-6857.5,-1984.46
L00027,bc1pn952y2hrpzf9gfnmsg0zht2smhn2lrzxz569vtpt23aj8wqgndms0a7maz,582.94133,1,66750,0,1,licença paga + mint do deed = lote no anel de expansão,-6857.03,-1985.89
L00028,bc1qvwvcttn5dtxleu73uuyh8w759gukjr22l7z503,582.9374,1,67619,0,0,licença paga + mint do deed = lote no anel de expansão,-6856.57,-1987.31
L00029,bc1p7kngd7fmh5t8phdphmrqysgnfkwtrfk9ncr3rzacwc53apzcdlqs769ydv,582.37886,1,66871,0,0,licença paga + mint do deed = lote no anel de expansão,-6856.11,-1988.74
L00030,bc1pq7jpe4ejh9nfe75zp2ahh3lu5sgaz3jwqjphtq657lpv939tl7sq479kkj,582.34,1,66724,0,0,licença paga + mint do deed = lote no anel de expansão,-6855.64,-1990.17
L00031,bc1pf9ujfzt86525hac3hcg3pw3x52g3grqdf5dfzlvutw9r36jxdqvqxkta9n,582.2679,1,66872,0,0,licença paga + mint do deed = lote no anel de expansão,-6855.18,-1991.59
L00032,bc1p4yffyen09e74vvyp579fknnajzrjmhqpjv7e6zcptc86uv5u07xssc02vv,582.1349,1,66818,0,0,licença paga + mint do deed = lote no anel de expansão,-6854.72,-1993.02
L00033,bc1p4v4wm4tfw9qy4t55ur6gwr3j3erdjgmstfj96y4ecu2m7z8nhfrqgjv88p,582.0,1,67786,0,1,licença paga + mint do deed = lote no anel de expansão,-6854.25,-1994.45
L00034,bc1pluj8hwejw5nkprmskj4qudlfs7zj86tgj2kxkauz0afnz2cc84aqc5d8sa,581.67636,1,66874,0,0,licença paga + mint do deed = lote no anel de expansão,-6853.79,-1995.87
L00035,bc1pjdu5th8yunq72ta6e0p0gf5p0sntqxrjl7hnl882mn5qgc5d28aqqna5f7,581.46781,1,66876,0,0,licença paga + mint do deed = lote no anel de expansão,-6853.33,-1997.3
L00036,bc1pnhmludv7jvv04ur9n4hrnskhxhzatlxqdxqfasd9qty8pvaseudsvxmu5q,581.268,1,66879,0,0,licença paga + mint do deed = lote no anel de expansão,-6852.86,-1998.73
L00037,bc1p6dxf7nwq3vum9fqh0sw9yma38vnym9r3a9d0ua77jv25zj8dg2sqqaxr5c,580.37886,1,66885,0,0,licença paga + mint do deed = lote no anel de expansão,-6852.4,-2000.15
L00038,bc1pfj0x2g0h5pr24u97s92zvp08urg4s8ayr2ntzpnqz8m94ef09cesy2gtwp,580.26776,1,66886,0,0,licença paga + mint do deed = lote no anel de expansão,-6851.94,-2001.58
L00039,bc1ptyqstg8g44sxg4wrq5svkj0q7x3g0k5pc2va4d8dt2qa92k2s8lqu34r5x,580.0,1,66699,0,0,licença paga + mint do deed = lote no anel de expansão,-6851.47,-2003.01
L00040,bc1prgv3d9enxvqf66dyu8zgpax34kale6hmtxa60s05n8ve2fp2603qcsdhvc,580.0,1,66812,0,0,licença paga + mint do deed = lote no anel de expansão,-6851.01,-2004.43
L00041,bc1pha7ckxrnw5myt2q6u5vkfdvk85dwdhrc430ve0kcc9rw9t6ndpfqyyqn97,580.0,1,66918,0,0,licença paga + mint do deed = lote no anel de expansão,-6850.55,-2005.86
L00042,bc1p5f2vved5tdcvgdzxsgzdfjrlk5mx78xcjfmfcrd3ut05sda3jdrsdyfqsk,579.60882,1,66889,0,0,licença paga + mint do deed = lote no anel de expansão,-6850.08,-2007.29
L00043,bc1p99ddsyf5jx6nhhzt0t8nu2lg3lcvuj9e2q555aselrxvpwpldh4sn5xf95,579.50994,1,66972,0,0,licença paga + mint do deed = lote no anel de expansão,-6849.62,-2008.71
L00044,bc1pypqsjz2nlnwm9r90k9v9h7glalm9dv4vcsctuf7mch28xpy3l4zqq85zjr,579.26776,1,66891,0,0,licença paga + mint do deed = lote no anel de expansão,-6849.15,-2010.14
L00045,bc1pywrmy6qeaevaa7j835tdhhy8mx2ce20para7hgg40wl8770jvuaqy245h7,578.86724,1,66892,0,0,licença paga + mint do deed = lote no anel de expansão,-6848.69,-2011.56
L00046,bc1pj5v25sydavw7jct3vwya0y40sultlf3wppfn6wqlsrw5u2jz4qesaa0a0x,578.86691,1,66893,0,0,licença paga + mint do deed = lote no anel de expansão,-6848.23,-2012.99
L00047,bc1p9rasgzeawuw7u6v348t7d0zm7xqq0fyw2a2kdny4073umffsfpesnmjvec,578.52782,1,68351,0,1,licença paga + mint do deed = lote no anel de expansão,-6847.76,-2014.42
L00048,bc1ptcl3dnnp7dgh9wkeyjpme0l29kvnl3a5rtsk6y85f3az0n5mhsgsw7nxjc,578.48081,1,66896,0,0,licença paga + mint do deed = lote no anel de expansão,-6847.3,-2015.84
L00049,bc1p9ltgcx8jcdzh3gry3lzk8c7ykqr3gzyfgaddkwq9xx2e4zjwxyzs4nng63,577.614,1,66694,0,0,licença paga + mint do deed = lote no anel de expansão,-6846.84,-2017.27
L00050,bc1p29vh9tdyy0eqdq04grrcve4g0h636hzvl9wacrpxykc2gzfyrags5dj3qu,577.5969,1,66898,0,0,licença paga + mint do deed = lote no anel de expansão,-6846.37,-2018.7
L00051,bc1pgap332pqdtdmaf5567zcljyaumvtmenl7m63h9zvvh6dyyjapftsrnu9se,577.56776,1,66900,0,0,licença paga + mint do deed = lote no anel de expansão,-6845.91,-2020.12
L00052,bc1pgdn89u8rcuryy742gxjp6r66svklysvvc9mn4ctv3c4sujpwyxjq3jlxqy,577.14,1,66762,0,0,licença paga + mint do deed = lote no anel de expansão,-6845.45,-2021.55
L00053,bc1p76r564pxkynqpw3x7myfpwlqv9wtd3a2h44ns9c0k3a9794ylatqxyfssk,577.14,1,66764,1,2,licença paga + mint do deed = lote no anel de expansão,-6844.98,-2022.98
L00054,bc1q9uv37gdwqgpra907lyms6x5tvr24g87rqqgfrn,577.14,1,66765,0,0,licença paga + mint do deed = lote no anel de expansão,-6844.52,-2024.4
L00055,bc1prxaln9fglud2hzw56hha4flcyd0m8kdl8fde0qed5zglvxzusc8q42juya,577.14,1,66766,0,0,licença paga + mint do deed = lote no anel de expansão,-6844.06,-2025.83
L00056,bc1p2pzy5qy9zf2yp8lxkgxe4rww5g9n7a5lxtwq6zqq84wtds5k3nzsz5lhse,576.81,1,67527,0,0,licença paga + mint do deed = lote no anel de expansão,-6843.59,-2027.26
L00057,bc1pmat6t0j72nlhsalylamj265qj2fkdndra7hkg34hq3n5vwrt55gsr5dzhx,576.81,1,67529,0,0,licença paga + mint do deed = lote no anel de expansão,-6843.13,-2028.68
L00058,bc1p4gqr40w4v63tz8mfd402vr0wd7aljv4kztzzawhlvtxxmtuecdjqmwwnqw,576.07,1,67494,0,0,licença paga + mint do deed = lote no anel de expansão,-6842.67,-2030.11
L00059,bc1pssnl27mak259w4mp22m6yzahvqj4hd9jh0kn9q8f4jyw3t9s2uqs59w4yg,575.78079,1,66910,0,0,licença paga + mint do deed = lote no anel de expansão,-6842.2,-2031.54
L00060,bc1p42kdahas9zrfpcllapgkp3y4lya2qtlxs35pzsnhm9n3aajagcrsewdysp,575.6635,1,66733,0,0,licença paga + mint do deed = lote no anel de expansão,-6841.74,-2032.96
L00061,bc1pg0sml5kn9k9tv7aayz20xex8800rrtcq23th5u568sufvt4f7resmq3e94,574.78,1,66873,0,0,licença paga + mint do deed = lote no anel de expansão,-6841.27,-2034.39
L00062,bc1phfqh3m3wcqvze28kmxtv3y0puk5fdvvzlenzyydzplzpvcyc8yhsjrwms5,574.76,2,67579,0,0,licença paga + mint do deed = lote no anel de expansão,-6840.81,-2035.82
L00063,bc1p9evq5m2sjtxgm5alt7dn0vvsmdrhylpcad2a629hl3t9dr2puctqeayc4z,574.75,1,67677,0,0,licença paga + mint do deed = lote no anel de expansão,-6840.35,-2037.24
L00064,bc1pwmhp6r8yfwddgvjtl6kv8skwtr7lktkhyprn0ldpf3tden387kqqclwzc3,574.43973,1,68012,0,0,licença paga + mint do deed = lote no anel de expansão,-6839.88,-2038.67
L00065,bc1pgy7u685qgh5wgugvaqa3pcqygyvz7qd9hk24u2ej8fa623ny63gqx58jmn,574.4288,1,68013,0,0,licença paga + mint do deed = lote no anel de expansão,-6839.42,-2040.1
L00066,bc1pk4xry3sfdrjm9k4yyz9y8hvrpycczwjse2zmw7ymnuh3eys0rulq9usr5c,574.42333,1,68014,0,0,licença paga + mint do deed = lote no anel de expansão,-6838.96,-2041.52
L00067,bc1p6xde8qr6cufp2ymkdm4hw927nae0z3n74k7svhuz4q4q9r93qscsqulaa9,574.41786,1,68015,0,0,licença paga + mint do deed = lote no anel de expansão,-6838.49,-2042.95
L00068,bc1pvxuc34v6hn6ywl3ta5lnrfae5jnp677kz58qrkyk3r9geg3jz8ssq4qe0q,574.41239,1,68016,0,0,licença paga + mint do deed = lote no anel de expansão,-6838.03,-2044.38
L00069,bc1paj03vjdgketkxh9d4xf7ma7528qud0e2xwucmf5n7htp8wl4hmkska6qnf,574.40692,1,68017,0,0,licença paga + mint do deed = lote no anel de expansão,-6837.57,-2045.8
L00070,bc1prmhvxnnx4syzvdyc52ad54d90mypsdfu2nhp0ecf7aczf7kf2ryqjsegp3,574.40144,1,68018,0,0,licença paga + mint do deed = lote no anel de expansão,-6837.1,-2047.23
L00071,bc1pvyyvm6uwyjfvj8r9wqnpv7d86mpvx6hlzjx5ydykcj8fzg8zkg6sgyas3u,574.39597,1,68019,0,0,licença paga + mint do deed = lote no anel de expansão,-6836.64,-2048.66
L00072,bc1p8kc0qdtlj72qc2fxr39zw5e97rxktluz02rl5psstxveg2gdgh5swtuslq,574.39368,1,67500,0,0,licença paga + mint do deed = lote no anel de expansão,-6836.18,-2050.08
L00073,bc1ppf0rarsrcns0l6yryt2z9yvll6v8ach5fythatf7f76prx6zejxqvpezkc,574.3905,1,68020,0,0,licença paga + mint do deed = lote no anel de expansão,-6835.71,-2051.51
L00074,bc1p348pmhx8h2aq0vn0lsc47v2gxl79mhu9pmcyce7j88dftgvu5j5swwq9ks,574.38504,1,68021,0,0,licença paga + mint do deed = lote no anel de expansão,-6835.25,-2052.94
L00075,bc1pp3ymj44y2z49ds5rtas596k9zfel8q95e3z7fcxudrstavp27e8q45syz4,574.37957,1,68023,0,0,licença paga + mint do deed = lote no anel de expansão,-6834.79,-2054.36
L00076,bc1plkrdshv8wqt7hnykxx6ntk6qa8j3c52cp6sea8tcnx29hae7tmcq2e3u7s,574.3741,1,68022,0,0,licença paga + mint do deed = lote no anel de expansão,-6834.32,-2055.79
L00077,bc1qay2f080mkc5jczs85q6xuy5mh6se5g5k5eeev6,574.36863,1,68024,0,0,licença paga + mint do deed = lote no anel de expansão,-6833.86,-2057.22
L00078,bc1p0q4922s4cc2na40tetkadvr2l05rcqazs3qcjgqwzd0wghqcyeqq96cxtm,573.6474,1,68028,0,0,licença paga + mint do deed = lote no anel de expansão,-6833.39,-2058.64
