rank,address,total_dog,lth_dog,sth_dog,lth_pct,sth_pct,utxo_count,lth_utxos,sth_utxos,weighted_avg_age_days,oldest_age_days,newest_age_days
1,bc1plzs2lltvv29k603w5m0aqma5e8w0n3pc77dt89l5w9hurmdfgd0swdhspn,12393842638.92301,0.0,12393842638.92301,0.0,100.0,272,0,272,11.96,49.51,0.13
2,bc1pk8g4rztfkxs2q9c40g6keeknjw6aadx3kzu4suzlll0remfw7xxs5x9ctv,3239237402.84574,2919389528.06685,319847874.77889,90.1258,9.8742,19837,18320,1517,479.34,680.6,0.05
3,bc1p50n9sksy5gwe6fgrxxsqfcp6ndsfjhykjqef64m8067hfadd9efqrhpp9k,2881165930.36167,2247722666.78693,633443263.57474,78.0143,21.9857,1805,1629,176,300.1,736.8,0.21
4,bc1pzsx4xvghxmc0prv4mys0xdly9dh9js3e88e4m24k5gxzkeskx30s4qzjud,2799460037.991,0.0,2799460037.991,0.0,100.0,21,0,21,46.68,48.47,0.78
5,3G7gSaxPY7BhbEASd2pnZY5cg7uEQMQvd8,2434292660.51884,2073887997.30162,360404663.21722,85.1947,14.8053,1372,1267,105,400.31,665.63,6.01
6,bc1qj7dam98j6ktjcp320qu77y2vrylv49c2k2hkmu,2074989520.49474,1730341236.34426,344648284.15048,83.3904,16.6096,1123,862,261,432.35,778.94,0.07
7,bc1pzsygr05uzgtnyfg7a3j0ehjpuph5gaadvjx4gsry52knsvhhz7cqu4fal9,1031084656.81201,923595490.85704,107489165.95497,89.5751,10.4249,18,17,1,425.94,787.8,30.34
8,bc1qmscmeqqxqz7vkfscfs8pvl98gkdkcr8e0egkhm,972627470.52329,947537364.54659,25090105.9767,97.4204,2.5796,12,11,1,492.92,770.98,1.21
9,bc1pczdzvvuulwyna9e6dsl8w0r35prvnmpawcwlrv4y42u5npysrdzqhwa7wl,789527955.8618,0.0,789527955.8618,0.0,100.0,2,0,2,0.89,138.31,0.86
10,bc1p5s304rghaw9uv66ewva26qvsw8gt4ydwl5yxa7knkkl5k4v492vs8yykdm,487039939.5447,487039939.5447,0.0,100.0,0.0,10,10,0,208.84,237.75,188.62
